Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
Chenille Kraft Peacock Feathers - 36 inches - Pack of 12,18.39,Arts & Entertainment,Hobbies & Creative Arts,Crafts & Hobbies,,,,New,10000,"Peacock feathers add a great touch to costumes, masks, collages and other creations. Also an excellent first step for teaching looking up skills required in juggling. They are approximately 36"" (91.4cm) long, 12 feathers per set.</p> <b> </b> <ul> <li>Pac",k of 12 Feathers</li> </ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765117&encrypt=.jpg,,,,,SCHOOL SUPPLIES,ART SUPPLIES,CRAFTS,DECORATIVE CRAFTS,,School Specialty,004070,PACK OF 12,$13.79,$15.86,18.39
Sportime Flag Football Belts Universal Size Flag Belts,29.99,Sporting Goods,Team Sports,Football,,,,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Each dozen belts is shipped with 6 pair of red and 6 pair of yellow flags. Belt colors may vary. One size fits all. Hook-a",nd-loop fabric attachments on 2 slides that can be placed in proper positions.</p> <b> </b> <ul> <li>Category: Sports / Football - Flag Football</li> <li>Sold as a Single Unit</li> <li>Short name: Belts Flag Football Universal Size - 1 Dz (6 Red 6 Yellow),</li> <li>Designed for School or Home Use</li> <li>Sportime - part of School Specialty Family of Products</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765984&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,004276,PACK OF 12,$22.49,$25.86,29.99
"Flag Football Belts - Replacement Flags, Yellow - Set of 12",11.39,Sporting Goods,Team Sports,Football,,,,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Belt colors may vary. One size fits all. Hook-and-loop fabric attachments on 2 slides that can be placed in proper positio","ns. Dozen flags only for use with any hook-and-loop flag belt. Replacement Flags, Yellow.</p> <b> </b> <ul> <li>Pack of 12</li> <li>Flags only (belts not included)</li> </ul> <p>",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765996&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,004280,EACH,$8.54,$9.82,11.39
"Flag Football Belts - Replacement Flags, Red - Set of 12",11.39,Sporting Goods,Team Sports,Football,,,,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Belt colors may vary. Replacement Flags, Red.</p> <b> </b> <ul> <li>Pack of 12</li> <li>Flags only (belts not included)</l",i> </ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766001&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,004288,EACH,$8.54,$9.82,11.39
Sportime Dub-L-Scrim Pinnie - Adult - Green / Red,6.89,Sporting Goods,Exercise & Fitness,,,,,New,10000,"We didn't invent reversible vests, but we certainly improved them. Virtually all the others on the market are straight cut, often tight fitting, one size for all, and most colors reverse to white. The Sportime Dub-L-Vest design is based on the loose-fitti",ng bloused scrimmage vest. Over-sized arm holes and elastic waist band make this a vest almost anyone can wear. Pinnie-size neck openings keep them from slipping down. Two Sizes: Youth for elementary grades and Adult for middle grades and up.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1028951&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,ORGANIZATION,PINNIES/VESTS,,School Specialty,004388,EACH,$5.17,$5.95,6.89
Sportime Rainbow Streamer Satin Ribbon with Plastic Glitter Wands - 36 inch - Set of 6 - Assorted,16.49,Sporting Goods,Dancing,,,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=390105&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=389291&encrypt=.jpg"" height=""200"" alt=""Ima","ge 2"" /> <p>These beautiful, high-quality rainbow streamer ribbons come in sets of 6 (one each; red, yellow, blue, green, violet and orange). Each streamer has a long, satin ribbon with a 9""L (23cm) plastic wand that sparkles with the same color glitter a","s the ribbon. This shorter length is perfect for limited spaces and younger children. Rainbow Ribbons help your students work on range of motion, eye-tracking, balance and creative socialization. Set of 6. 36"" (91cm) Rainbow Ribbon Wands.</p> <b> </b> <ul","> <li>Set of 6</li> <li>Assorted colors of the rainbow</li> <li>Glittery plastic wand for gripping</li> <li>Ideal for music and dance</li> <li>From School Specialty, the leader in education solutions</li> </ul> <p>",,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=770121&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,LEADUP SKILLS,MUSIC/DANCE,,School Specialty,004549,SET OF 6,$9.89,$11.37,16.49
Abilitations Disc O Sit Iinflatable Seating and Balance Cushion with Smooth Tactile Bumps - 15 inch,34.99,Health & Beauty,Health Care,,,,,New,10000,"The Disc'O'Sit is a 15"" (38.1cm) diameter inflatable disk with smooth tactile bumps that enables your students to work on postural training while seated, or balance activities in seated or standing positions. Ideal for all ages of students who require dyn","amic seated activities. Latex free. Inflate to desired level. Colors may vary.<br><br><br><p><a href=""http://store.schoolspecialtyonline.net/OA_HTML/ibcGetAttachment.jsp?cItemId=781399&encrypt=.jpg""target=""_blank"">Click for Larger Image - Opens in New Win",dow</a></p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=781399&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,SPECIAL NEEDS,POSITIONING,SITTING,,School Specialty,004715,EACH,$26.24,$30.18,34.99
Lanyards Assorted - 2 Each of 6 Colors,5.09,Sporting Goods,Exercise & Fitness,,,,,New,10000,This Lanyard has excellent quality braided nylon with nickel-plated brass clip. You can get sets of 12 including 2 each of 6 colors or you can get sets of any color.</p> <b> </b> <ul> <li>Pack of 12 Lanyards</li> <li>2 of each of 6 colors</li> <li>Use for, name tags or whistles</li> <li>Made with nylon</li> <li>Great for physical education classes</li> </ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=772190&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,ORGANIZATION,WHISTLES/LANYARDS,,School Specialty,004774,SET OF 12,$3.82,$4.39,5.09
Sportime BonkerBall UltraFoam BonkerBall Junior,69.99,Sporting Goods,Team Sports,Baseball,,,,New,10000,"In UltraFoam BonkerBall Junior 6 simultaneous softball games (of 5-6 players each) are played at the same time and on the same basketball court. All this is going on safely and color controlled. There are also 2 to 3 outfielders, a pitcher (who does not p","itch), a catcher and a batter. There are 2 forms of competition: Team against team or player against player. There are 2 basic playing concepts. Baseball or cricket batters toss the ball up to hit, run with bat in hand (dropped bats must always be picked ","up) to the other side of the court, then back again to the start position. It's a race against the ball! While the batters are running, all players in the field must touch the ball by throwing it to one another. The final series of throws is from the pitc","her to the catcher. Upon receiving the ball, the catcher must place the ball atop the catcher s cone. If the batter makes it past the cone before the ball is placed on top of it, a run is scored. If the catcher places the ball on top of the cone before th","e runnerreturns, the runner is out. In each case (score or out), players rotate and a new batter is up. The game continues for a preset number of at-bats. American Version: Requires 12 cones; 2 per team. Each cone is placed on the court sidelines. After h","itting the ball, the batter must circle the far-side cone and return past the catcher s cone. Cricket Version: Requires 6 cones; 1 per team. After hitting the ball, the batter must run to the other side of the court, touch the tip of the bat to the other ","side of the sideline, then return past the catcher s cone.This Junior set includes 6 each; 27""L (68.6cm) color-coded UltraFoam BonkerBall Bats and UltraFoam NoBounceBalls. Activity Guide included. Contains Latex. <p><a href=""https://store.schoolspecialty.",".com/OA_HTML/xxssi_ibcGetImage.jsp?name=Bonker"" target=""_blank"">Click Here to Download the Activity Guide</a></p>",No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763583&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,004798,EACH,$52.49,$60.36,69.99
Abilitations Disc O Sit Junior Inflatable Seating and Balance Cushion - 12 inch,28.99,Health & Beauty,Health Care,,,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=369231&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=368222&encrypt=.jpg"" height=""200"" alt=""Ima","ge 2"" /> <p>The Disc'O'Sit Jr. is a 12 inch (30.5cm) diameter inflatable disk with smooth tactile bumps. It enables your students to work on postural training while seated, or balance activities in seated or standing positions. Ideal for little bottoms wh",o require dynamic seated activities. Inflate to desired level. Latex free. Color may vary.</p> <b> </b> <ul> <li>Sold as Single Unit</li> <li>The Disc'O'Sit is inflatable!</li> <li>Perfect alternative to a ball chair</li> <li>Dynamic seating promotes bett,er posture</li> <li>Great for balance activities when used on the floor</li> </ul> <p>,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=795699&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,SPECIAL NEEDS,POSITIONING,SITTING,,School Specialty,004828,EACH,$21.74,$25.00,28.99
Mozart Effect Music for Children Series CD Set - Set of 3,39.99,Toys & Games,Toys,Educational Toys,,,,New,10000,"The Mozart Effect Series includes Tune Up Your Mind, Relax, Daydream and Draw and Mozart in Motion. 3 CD set.</p> <b> </b> <ul> <li>Set of 3</li> <li>Excellent relaxation tool for art or music classes</li> <li>Contributes to students artistic development<",/li> <li>Draw while listening to the CD set for creative inspiration</li> <li>Use at home or in the classroom</li> </ul> <p>,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1028995&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,EARLY LEARNING,EC MUSIC,CDS/DVDS/CASSETTES,,School Specialty,004927,EACH,$29.99,$34.49,39.99
Post-it Notes - 3 x 3 - 100 Sheets Per Pad - Pack of 5 - Assorted Ultra Colors,8.39,Office Supplies,General Supplies,Paper Products,Sticky Notes,,,New,10000,"Fresh, bright colors for messages that really attract attention! 5-packs contain 3"" x 3"" pads, 1 pad each ultra color: Grape, Turquoise, Fuchsia, Ultra Yellow and Limeade. 100 sheets/pad.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1049953&encrypt=.jpg,,,,,SCHOOL SUPPLIES,OFFICE SUPPLIES,SELF STICKING NOTES,NOTES,,School Specialty,005046,PACK OF 5,$6.29,$7.23,8.39
Rapper Snapper Fidget - Set of 15,22.99,Health & Beauty,Health Care,,,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=21205&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=21204&encrypt=.jpg"" height=""200"" alt=""Image"," 2"" /> <p>The Rapper Snapper is a fascinating corrugated tube that provides auditory, visual and tactile feedback while strengthening upper extremity musculature. A Rapper Snapper can be stretched to its full length of 3"" (76cm) or crunched back down to 8",""" (2cm). It can be twisted and bent into an endless number of shapes and designs connected together to form one long tube or stretched and twirled to create a whistling sound. Set of 15.</p> <b> </b> <ul> <li>Set of 15</li> <li>Audible, tactile and visual"," aid for special education</li> <li>Promotes muscle strengthening</li> <li>Pull, crunch, bend, and twist</li> <li>From the award winning Abilitations line of Special Needs Solutions</li> </ul> <p>",,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=780932&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,SPECIAL NEEDS,FINE MOTOR,MANIPULATIVES,,School Specialty,005092,EACH,$17.24,$19.83,22.99
Wham-O World Class Ultimate Frisbee Disc with DVD - 175 grams - Assorted Colors,12.19,Sporting Goods,Exercise & Fitness,,,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=374414&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=373790&encrypt=.jpg"" height=""200"" alt=""Ima","ge 2"" /> <p>World Class Frisbee Discs are still the best known flying discs in the world today and are as popular as ever. Latex free. Colors may vary. 175g.</p> <b> </b> <ul> <li>Colors May Vary</li> <li>Sold individually</li> <li>Weights can range from ",140g to 200g</li> <li>An ultimate DVD is included</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=768053&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,LEADUP SKILLS,FLYING DISCS,,School Specialty,005113,EACH,$9.14,$10.51,12.19
"Large Wiggly Giggly Ball by Toysmith (assorted colors, sold individually)",14.99,Health & Beauty,Health Care,,,,,New,10000,"Wiggly Giggly is a great motivator for play as well as an excellent auditory stimulating tool. This fun ball features finger holes for easy rolling, tossing and makes a wacky sound with its every motion. Made from a soft plastic that gives when you press ","on it. Measures 7"" (18cm) in diameter.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=780585&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,SPECIAL NEEDS,SENSORY SOLUTIONS,CAUSE/EFFECT,,School Specialty,005519,EACH,$11.24,$12.93,14.99
Abilitations Integrations Six-Leg Ball Chair - 25 1/2 inch - Green,35.99,Sporting Goods,Exercise & Fitness,,,,,New,10000,"Ball Chairs are a terrific classroom tool. Ideal for children with SI, ADD, low tone or processing disorders. Six stability legs keep the seat in place when in use or not in use. Anti-burst material for added safety. Choose size by measuring the individua","l s arm length (arm pit to finger tips) and ordering the closest ball size. This arm measurement generally matches the foot to knee height, creating a 90 degree angle at the knee when seated. Dimensions: 65cm (25-1/2""). Latex free. Abilitations Integratio","ns.</p> <b> </b> <ul> <li>Sold as Single Unit</li> <li>Designed by experts, perfect for home or classroom usage</li> <li>From the award winning Abilitations line of Special Needs Solutions</li> <li>Multiple uses - seating and physical fitness training</li","> <li>A well-seated child is a happier, more productive child</li> </ul> <p>",,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=783889&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,005651,EACH,$26.99,$31.04,35.99
Cramer Weighted Bowling Pins - Set of 10,67.99,Sporting Goods,Indoor Games,Bowling,,,,New,10000,Regulation sized and colored pins. Weighted pins provide even greater realism with more pin action and greater stability. Pin sets come complete with pattern setup sheet and score pad. Latex free.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=764246&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,SPORTS,BOWLING,,School Specialty,005753,EACH,$50.99,$58.64,67.99
Sportime NoKink Hoops - 24 inch - Set of 12 - 6 Colors,57.99,Sporting Goods,Exercise & Fitness,,,,,New,10000,"NoKinks are a round, hollow, and light hoop with a patented plastic formula that renders them virtually free from kinking, by even your roudiest students! No-Kink Hoops are ideal for teaching and directing movement in dance, gymnastic, athletic and recrea","tional programs. All ages can use them for a variety of skill developing activities. Plus, they make good targets and markers. 2 each; red, blue, yellow, green, orange and violet. 24"" Set of 12.</p> <b> </b> <ul> <li>Category: Leadup Skills / Hoops</li> <",li>Sold as a Single Unit</li> <li>Short name: Hoop No-Kink 24'' - 1 Dozen</li> <li>Designed for School or Home Use</li> <li>Sportime - part of School Specialty Family of Products</li> </ul> <p>,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1029163&encrypt=.jpg,,,,,CLASSROOM SUPPLIES,PHYSICAL EDUCATION,LEADUP SKILLS,HOOPS,,School Specialty,005930,EACH,$43.49,$50.01,57.99
